NodeId:14	0.182918086133,20,36,39,44,62,98
NodeId:8	0.206852897758,20,13,41,59,87
NodeId:5	0.343691394421,19,2,9,24,50,61,81,98
NodeId:17	0.453345646903,18,18,39,41,53,63,72,79,99
NodeId:23	0.489892242758,0,92,99
NodeId:16	0.570828852055,17,45,52,67,80
NodeId:6	0.613651744921,14,15,22,58,80
NodeId:11	0.614023402743,15,6,28,40,49,51,67,89
NodeId:0	0.691218565501,13,1,15,66,96
NodeId:4	0.715384925374,16,24,42,46,86
NodeId:3	0.726380965423,12,30,42,45,86
NodeId:25	0.762766771637,0,63
NodeId:26	0.800189750678,0,15,23,28,64
NodeId:30	0.814221700131,0,80,84,95
NodeId:28	0.834912249697,0,21,25,72
NodeId:35	0.351265948813,0,12,18,62,64,65,66,83,91
NodeId:36	0.70486319836,0,12,20,30,34,61,75,77,99
NodeId:13	0.855062301777,7,25,32,33,35,76
NodeId:19	0.86290328817,9,27,33,37,45,92
NodeId:29	0.868989546666,0,18,23,31,36,86
NodeId:40	0.679063964358,0,7,71,72,73
NodeId:10	0.878188339657,11,4,6,38,67,78,80
NodeId:42	0.487982047068,0,36,45,70,89,99
NodeId:41	0.887167176371,0,44,45,49,66
NodeId:44	0.537193160504,0,17,37,38
NodeId:12	0.917136235669,5,24,28,50,55,67,85,98
NodeId:46	0.798763921893,0,78
NodeId:47	0.417408702546,0,5,14,52,70,73
NodeId:43	0.940180676345,0,4,21,24,56,67,68,80,86,90
NodeId:50	0.794736736859,0,0,20,46,68
NodeId:51	0.927219034619,0,38,45,61,71
NodeId:52	0.780324069832,0,27,31,64,91
NodeId:53	0.522980399213,0,2,13,65,78,95
NodeId:54	0.58553804759,0,12,69,77
NodeId:55	0.621165469945,0,10,19,22,25,51,58,62
NodeId:56	0.460181032082,0,29,36,80,96,98
NodeId:57	0.801976169168,0,86,94,96,98
NodeId:58	0.828998399417,0,16,38,71,73,78
NodeId:59	0.402091414521,0,10,24,69,92
NodeId:60	0.482280415208,0,14,49,53,56,65
NodeId:61	0.624850119738,0,6,9,18,20,99
NodeId:32	0.945434564151,0,2,3,6,27,47,69,71,91
NodeId:24	0.946136779656,0,9,10,18,38,55,93,94
NodeId:18	0.98627507574,6,52,61,62,87
NodeId:65	0.966168775077,0,27,88
NodeId:66	0.962547688301,0,8,19,72,81,83,98
NodeId:67	0.622229973906,0,2,26,30,31,32,45
NodeId:68	0.893258234808,0,1,6,19,28,40,81,85
NodeId:69	0.816128330642,0,12,22,42,46,55,72,88
NodeId:2	0.995949749405,10,31,63
NodeId:64	0.997942835195,0,3,27,28,31,33,39,78
NodeId:34	0.999187181715,0,0,7,77,78
NodeId:73	0.426370773709,0,41,50,51,84,92
NodeId:74	0.319130134292,0,35,54,84
NodeId:75	0.336455928736,0,29,34,37,51,54,65,85,91
NodeId:76	0.926082779026,0,9
NodeId:77	0.5418804613,0,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:33	1.01124567915,0,2,56,58,86
NodeId:79	0.95320626154,0,0,26,43,74,90
NodeId:62	1.012694075,0,11,22,33,91
NodeId:81	0.477559902096,0,5,21,26,78,93,96
NodeId:82	0.668556373548,0,2,23,24,32,52,53
NodeId:7	1.02003144467,8,12,21,38,57,93
NodeId:84	1.04922287495,0,9,21
NodeId:85	0.644649386494,0,32,54,57,64,69,90,99
NodeId:22	1.05302027212,0,25,65,72,83,97
NodeId:87	0.345597909619,0,8,19,20,27,30,47,54,63
NodeId:38	1.14792470018,0,30,41,98
NodeId:89	0.481321386123,0,16,32,35,38,40,57,58
NodeId:90	0.921931124843,0,1,26,52,93,96
NodeId:91	0.659352715059,0,12,24,66,81,95
NodeId:20	1.16255503322,20,7,94
NodeId:93	0.97230084363,0,15,43,66,75
NodeId:94	1.07034436625,0,4,17,20,90
NodeId:39	1.17821820313,0,31,43,68,71,92
NodeId:96	0.741841606964,0,12,13,24,31,60,74
NodeId:97	1.15120924616,0,37,50,62,89
NodeId:98	1.07194855138,0,5,13,15,28,49,66,92,94
NodeId:99	1.14577525223,0,1,83
NodeId:31	2.33754734442,1,29,36,46,49,54,62,70,85
NodeId:72	2.11197789347,2,10,49,51,92,93,95
NodeId:63	1.81037656911,3,3,64,65,72
NodeId:9	1.7911229064,4,33,39,41,43,51,69,80
NodeId:78	1.71796529961,5,13,19,34,82
NodeId:92	1.69421231943,6,22,34,39,57
NodeId:71	1.64079516401,7,15,16,45,84,97
NodeId:45	1.5064607773,8,18,53,58,83,86,90
NodeId:95	1.48888558674,9,76,88
NodeId:21	1.44165211907,10
NodeId:86	1.41008626186,11,11,60,71,95
NodeId:37	1.37511951542,12,40,59,71,97
NodeId:88	1.36610262537,13,21,26,44,50,55,82
NodeId:27	1.36554784169,14,32,68,70,92
NodeId:83	1.30516493507,15,1,4,10,18,27,29,70
NodeId:70	1.27309493252,16,20,63,99
NodeId:1	1.26518755912,17,37,72
NodeId:15	1.2494946814,18,47,70,79,95,97
NodeId:49	1.20409013388,19,2,29,31,39,84
NodeId:80	1.18744708729,20,31,79
FinalRank:2.33754734442	31
FinalRank:2.11197789347	72
FinalRank:1.81037656911	63
FinalRank:1.7911229064	9
FinalRank:1.71796529961	78
FinalRank:1.69421231943	92
FinalRank:1.64079516401	71
FinalRank:1.5064607773	45
FinalRank:1.48888558674	95
FinalRank:1.44165211907	21
FinalRank:1.41008626186	86
FinalRank:1.37511951542	37
FinalRank:1.36610262537	88
FinalRank:1.36554784169	27
FinalRank:1.30516493507	83
FinalRank:1.27309493252	70
FinalRank:1.26518755912	1
FinalRank:1.2494946814	15
FinalRank:1.20409013388	49
FinalRank:1.18744708729	80
